TSNE1,TSNE2,KM_AE
-3.7196467,-8.297211,0
-42.56342,6.8958983,0
41.511642,-3.81469,0
-8.893906,52.654873,2
30.747278,58.651695,2
-28.956617,-18.531416,0
-19.457226,-39.40211,0
34.870632,-3.4020145,0
-10.506586,-48.577396,0
-2.4120386,51.36947,2
0.3699741,39.59289,2
-55.185818,-28.614883,0
21.657331,49.026005,2
8.620504,-11.751709,0
21.211815,48.109932,2
26.134085,14.913055,0
65.223465,19.20875,0
62.71696,20.853666,0
43.46933,-7.4643817,0
-21.613894,-75.18931,0
-7.441224,14.987388,0
-63.180614,-2.6039116,0
-19.571545,56.046867,2
-3.1494527,-32.715122,0
-30.708363,-12.779942,0
27.610796,56.218773,2
-25.254877,-2.670193,0
3.504835,37.676765,2
-61.36478,-7.6229606,0
24.77675,58.527306,2
-7.2278857,54.79738,2
30.562586,-15.062973,0
43.52342,-9.229049,0
65.15589,19.163694,0
-3.1815343,51.416546,2
44.049225,-4.455149,0
32.77906,3.192225,0
3.4059138,37.464893,2
39.258842,-26.598667,0
-1.6969377,-44.046165,0
5.492658,-44.61115,0
30.647463,-37.78692,0
9.827793,-32.74811,0
-9.833197,-0.13405164,0
-36.680843,-57.70104,0
36.26511,52.46679,2
7.7685895,5.356866,0
5.7735643,-32.0216,0
-0.856316,-63.76192,0
-1.9960401,18.725405,2
-22.06115,-74.35968,0
-0.082368135,-43.14853,0
30.149733,53.00749,2
-10.076921,53.443768,2
1.3193842,5.7662516,0
-6.8672585,17.153738,0
33.88235,41.188858,2
31.551392,15.564824,0
73.914635,16.341478,0
12.482845,-23.262129,0
-32.996258,10.708132,0
41.985016,2.69449,0
7.1555886,6.964617,0
25.760515,-19.518915,0
-28.771019,17.86912,0
-19.500889,9.149048,0
-20.054699,-76.26276,0
-0.17603782,7.2612433,0
31.694313,-39.42198,0
-5.747027,-63.175198,0
-30.945137,14.884072,0
-18.976355,9.482766,0
-17.017445,26.58488,0
20.054398,35.616245,2
35.986584,43.769268,2
-14.07552,-48.35375,0
-19.78426,73.33377,2
-27.836187,18.59214,0
-2.6859844,-32.508713,0
40.712646,-18.57901,0
-0.85941523,40.89516,2
35.43509,-26.983065,0
29.918402,52.374355,2
27.1907,51.696194,2
-5.9757166,43.520786,2
-62.51896,-11.0609455,0
-8.7399435,7.3171873,0
33.887012,57.98955,2
-60.801052,-17.639452,0
33.477734,-35.04773,0
35.541607,44.46518,2
0.87579185,-65.13896,0
-17.134699,50.95719,2
7.8735147,-65.76684,0
-28.721186,-12.748358,0
37.241463,48.340958,2
-9.522415,11.115026,0
-8.882159,24.930275,2
3.9867213,0.093233086,0
-19.696785,-40.541317,0
-18.36967,12.41439,0
17.307697,-39.09468,0
0.58046937,-2.0265126,0
-36.16133,-57.379856,0
11.684163,-61.11125,0
16.814798,48.755283,2
27.937868,51.735817,2
-6.2835445,-60.066467,0
-2.8550286,19.669657,2
-20.807611,-33.713783,0
-27.565456,18.872282,0
25.141973,-17.18278,0
-6.460877,42.430088,2
31.030518,7.487364,0
31.93032,55.421238,2
39.614143,-30.923702,0
28.914448,36.34257,2
-18.982035,11.934432,0
66.81686,17.777119,0
34.679092,1.6578587,0
17.148447,36.668316,2
41.492237,-8.972826,0
36.602,10.59316,0
-11.526382,-4.550111,0
32.37642,15.330373,0
-21.50825,-30.299662,0
57.802017,23.249105,0
-25.8137,2.5417464,0
-12.446318,78.89909,2
-37.17967,-47.52722,0
-16.042416,76.54669,2
19.398458,-34.191006,0
-32.392227,11.221051,0
-20.871504,25.381483,0
2.3786614,-5.44336,0
19.323128,54.2304,2
19.657747,-49.24007,0
-0.15597582,-2.1286047,0
-37.075226,-57.98621,0
-27.50327,18.835348,0
-7.852998,79.83213,2
-13.685776,45.00266,2
-26.514477,-10.797696,0
25.275833,-28.661228,0
39.742252,56.506313,2
5.07727,-48.464355,0
-14.1098,16.006987,0
26.861874,-14.436707,0
8.783812,-53.970222,0
-12.469856,77.7484,2
17.150862,-46.004086,0
-39.829758,6.7119555,0
43.553318,-0.032698628,0
-5.5060983,-30.586376,0
-9.865696,-47.906776,0
-8.788211,11.230129,0
-3.3068576,-32.507347,0
26.528652,-15.105422,0
-7.718133,-56.653652,0
-36.740654,-57.741528,0
14.765214,-45.24738,0
-39.338905,-48.96766,0
3.4503973,3.6110592,0
-45.908916,-36.60199,0
13.36361,35.681324,2
-8.994464,-59.237766,0
-18.870964,11.855077,0
-62.72714,-11.117688,0
-61.307037,-0.6832397,0
-30.23458,-6.4543576,0
8.888375,47.98715,2
-17.65238,-39.476204,0
6.1723037,-47.060925,0
-10.854487,-13.300398,0
26.23641,-26.833984,0
21.654724,48.502533,2
42.429016,-3.3901167,0
-52.627808,-28.553701,0
9.608425,-53.90951,0
-10.331578,-0.1237372,0
14.702882,-9.119287,0
-1.911514,57.366695,2
16.210701,48.72856,2
68.98809,17.440573,0
-13.458217,-46.044804,0
29.269173,-15.418353,0
1.8808706,37.403137,2
0.36612988,-19.752295,0
-45.063477,-38.740837,0
34.898693,-19.935522,0
71.744804,16.142895,0
20.721165,59.063065,2
20.576544,-35.036068,0
-53.81634,28.67235,2
40.299515,-16.773184,0
-1.0744363,5.6292353,0
26.20111,15.125586,0
-47.39892,39.072746,2
-19.23901,-77.907265,0
19.694078,47.658382,2
-21.11787,67.28356,2
-42.0626,6.0340137,0
-22.173225,-72.94645,0
-51.52233,36.085033,2
26.3416,15.219286,0
34.1109,-10.739956,0
37.24435,51.74207,2
-19.824615,56.606068,2
-12.090276,73.11044,2
20.512026,58.911884,2
-21.290146,-33.42102,0
-17.574894,26.74346,0
-0.9611321,-19.088417,0
-34.22524,-62.277855,0
35.413536,-37.368416,0
-41.83104,7.298934,0
17.87042,-47.2404,0
-2.741257,41.623737,2
25.158709,-29.998968,0
64.093094,20.137436,0
-1.3783215,-19.284754,0
-62.59992,-11.084772,0
19.465513,35.944466,2
5.372154,-1.2459389,0
35.01162,-19.611465,0
-4.470401,20.923647,0
24.1995,-25.218758,0
-49.74454,34.342873,2
28.510996,11.744593,0
26.875103,-15.935304,0
-0.85126567,41.336807,2
19.407503,-0.11914431,0
-10.095613,-17.172274,0
25.568583,12.907703,0
-4.437616,-18.110435,0
-40.68375,-46.757626,0
-46.15883,38.619503,2
-9.367044,0.06932252,0
-23.412943,-70.97525,0
4.2656374,-31.32767,0
-5.494241,18.837297,0
-47.780838,38.388577,2
60.809628,19.478407,0
-28.675632,-19.1184,0
27.178991,15.460893,0
-27.349894,-6.500314,0
10.906513,35.638626,2
-19.140497,-38.607723,0
-17.410082,75.354385,2
-1.4682741,-64.88918,0
-22.277243,-74.79973,0
-10.44474,-9.050674,0
57.27865,23.634201,0
-25.194239,-2.4804654,0
6.5578794,0.61725885,0
14.488679,-5.1895175,0
25.77172,-29.418856,0
18.15556,47.444214,2
40.684982,-15.993648,0
-53.160652,7.952328,0
35.980923,48.346313,2
-15.740545,14.932863,0
-50.294346,32.750854,2
-3.9408731,17.163229,0
27.064798,13.741923,0
-0.57037425,-62.97582,0
-19.531376,-76.621895,0
12.78307,-8.32251,0
26.005028,-17.911724,0
-53.226967,8.104154,0
6.108366,-66.247215,0
-49.5817,6.320063,0
-10.971531,78.5362,2
30.696247,-7.1370153,0
4.1459517,52.366978,2
-9.602242,1.7037439,0
0.9551666,51.536102,2
8.196204,8.739349,0
-21.49657,-32.68763,0
-28.475515,18.331844,0
29.400272,15.94267,0
1.5245397,-1.7387277,0
-11.926611,-46.407745,0
57.417805,24.108032,0
9.119711,46.46162,2
11.204886,-4.900152,0
-14.414171,46.061928,2
-28.575935,-5.757765,0
28.150612,36.121822,2
27.545263,55.833023,2
18.972004,-3.5572019,0
-19.54258,25.857628,0
22.696198,48.884087,2
30.647972,-38.629784,0
-25.555315,-25.400337,0
31.366814,15.624734,0
-12.499808,7.381383,0
-6.777695,42.50064,2
-26.135225,-24.08679,0
27.237333,60.620033,2
-28.63292,18.930538,0
44.22145,-15.444054,0
67.247765,18.341282,0
-63.47235,-7.217602,0
-6.8988776,-30.524975,0
67.22556,17.625826,0
24.91227,4.1075225,0
-61.49446,2.0540004,0
-14.434033,27.177582,0
-2.9686098,58.340702,2
-35.19883,-57.821182,0
-47.16234,37.785225,2
-63.338,-7.1662493,0
73.899765,16.341028,0
35.48023,11.849718,0
-51.74243,37.29395,2
12.792985,-6.5531397,0
71.87246,16.135086,0
6.749033,-65.648865,0
-43.7032,-37.804256,0
26.462814,15.453482,0
-4.7565002,20.420036,0
34.102787,13.410288,0
-26.608042,-1.4687749,0
-9.504792,-19.852274,0
-42.759468,7.2810025,0
-61.84401,-10.750451,0
12.070721,-5.779061,0
0.9301337,-63.36234,0
27.80942,36.506054,2
-0.2604883,-2.5400047,0
-47.134296,41.379658,2
34.1017,40.241394,2
32.375515,14.76449,0
-49.242336,33.116688,2
33.370663,-19.523548,0
44.172153,-0.70229596,0
20.277594,-44.58618,0
-19.281576,73.54442,2
-15.192235,15.505164,0
-36.563366,-47.620388,0
37.75684,51.119194,2
42.748898,-25.040607,0
-17.731537,52.782757,2
-22.96838,7.434786,0
2.0081112,-11.283096,0
-27.959824,19.692806,0
-21.278225,-31.43184,0
-14.243969,27.01238,0
40.00244,-8.92403,0
33.51879,-7.5545816,0
0.42176643,-64.75709,0
-12.375549,-0.11761213,0
13.782032,-60.5871,0
33.491806,7.0480213,0
7.673206,36.21863,2
-51.373184,8.669785,0
20.150343,-48.627174,0
31.023981,8.959159,0
-8.094218,15.861496,0
-7.185977,53.820568,2
13.246167,-5.1514473,0
0.14943232,-27.179123,0
13.125272,-59.76174,0
7.1030107,-35.50233,0
13.181819,-6.0957465,0
-39.93569,-47.784405,0
-10.466293,27.04113,2
30.984224,9.866025,0
-6.0707355,42.206017,2
16.19228,46.42813,2
-62.33073,-11.000294,0
-62.267685,-10.172382,0
-40.677643,-45.560173,0
32.42064,40.634888,2
20.907639,35.460823,2
-51.96368,-28.188982,0
44.09884,-7.1406837,0
36.82755,7.3393188,0
7.7142096,47.525684,2
-51.70437,7.324424,0
28.66652,7.503339,0
-12.098916,45.862995,2
-4.9763217,42.310093,2
-34.87686,-59.165276,0
25.893158,-16.488455,0
-6.9839673,53.187576,2
23.513218,52.03082,2
-21.370462,68.288826,2
24.10659,57.950348,2
-61.170727,-1.7000271,0
-64.2191,-10.580968,0
-11.37094,0.1572653,0
-5.7832775,42.858425,2
-1.1702697,-42.30553,0
63.653233,20.428558,0
-2.3573484,18.955652,0
25.306429,-18.125015,0
25.076674,-25.001234,0
-51.63587,35.541325,2
-13.114035,2.0773036,0
27.64477,10.599598,0
-23.185911,7.0666585,0
-13.033083,2.5381799,0
25.412218,60.66992,2
32.310932,-23.46622,0
29.861652,-22.6435,0
15.551387,-3.442142,0
